Business Name,Business Category,Address,Contact
Peter England Showroom P.P. Road Buxar,Men's clothing store,"PP Rd, near Axis Bank",06183 357 243
The Raymond shop,Clothing store,"The Raymond Shop, PP Rd",080 4493 8944
Maruti Textiles,Clothing store,Pushtakalay Road,096611 81755
Killer Showroom,Clothing store,"HX8H+229, Station Rd",094314 20162
Siyaram's Shop - Buxar,Clothing store,PP Rd,099052 41855
Babyhug Store Buxar Purana Bazar,Baby store,"Ward No.24, Kotawali Chowk, New Plot No. 65, 11 Dhurs, near Jamuna Chowk",093043 25338
Mahalaxmi Vastralaya महालक्ष्मी वस्त्रालय,Clothing store,PP Rd,082268 86448
Pp road buxar,Clothing store,PP Rd,088253 84366
Bengal Dresses,Clothing store,HXFF+F2J,099342 17886
STYLE BAAZAR BUXAR,Outlet mall,"Main Road, opposite Krishna Cinema",091477 17850
Cantabil,Clothing store,"Ground Floor Turhatoli, near Krishna Cinema",094588 74138
Sumangal Sarees,Clothing store,"Purana chowk,main road,buxar,bihar",094310 83793
Sri Ram Vastralaya,Clothing store,HXGG+WVW,085788 99309
Karishma Dresses,Clothing store,PP Rd,082715 77591
COBB Italy Fashion Exclusive Showroom,Clothing store,"PURANA CHOWK MAIN ROAD, near Jhoon Babu Jewellers",092414 59772
Tiger Jeans Corner,Men's clothing store,"Shop No 01, near by Chunni Lal Main Road",078588 88782
Om Fancy Store,Clothing store,Purana Chowk,094318 46114
"Kushum Garments, Opposite Indian Bank",Clothing store,HX7J+XRM,085820 11545
Dress Center,Clothing store,PP Rd,087896 24237
Amit vastralaya Buxar Bihar,Clothing store,PP Rd,079797 38532
Manyavar,Men's clothing store,"Khata No 168, Rangoli Shopping Mall, Plot No 386, Main Road",080 3700 2550
Jai Gurudev Saree Collection,Clothing store,HX87+RV6,087578 93582
Bahuriya Garments,Women's clothing store,"Chausa buxar main road, mod, opposite Yamaha Pooja motors",088253 47716
Paridhan Whole Sale Bazar,Clothing wholesale market place,PP Rd,097410 91080
Unique School Shop,Uniform store,Collectraite Rd Buxar,093087 61906
Fashion World,Clothing store,"2, Ramrekhaghat Road",091222 44601
Jaiswal Garments,Clothing store,"Vishwanath Bhawan, 22, Laxumanpur Bhaurolee Road",073986 02211
Anabiya Garments,Men's clothing store,Shop No 09,072083 25313
Libas Collection,Clothing store,Gola Rd,087892 98148
Aaradhya Faishion,Shopping mall,PP Rd,089873 96101
swayamvar vastralay,Clothing store,Gola Rd,077390 42156
Saraswati Sarees Center,Clothing store,"viswa mitra marg, PP Rd",092347 99789
Shardhanjali Dresses,Clothing store,Dumraon Bikramganj Rd,077390 42156
SRI KHADI BHANDAR,Clothing store,Gola Rd,079037 03096
Pahnawa garment,Clothing store,Sahid gate,088630 46142
TRENDS,Clothing store,"H48R+XMC Commercial Complex, Station Rd, near Shankar Cinema",062038 43748
S2 Clothes Store,Clothing store,jail paen road,077669 53904
Indian's Fab | Online Shopping Store,Clothing store,"Twining Ganj .Railways station, Village. Noniyapura, post, Sowan",077830 12361
Prakash Cloth Store,Men's clothing store,"Shop No 3, M P, High School",093082 92766
Jockey Exclusive Store,Clothing store,"PP Road, Ward No 27, Santh",080839 37079
Bal Gnesh Readymade Garments,Clothing store,Bal Ganesh Tadka,093041 62460
Sabrang khadi,Clothing store,"Turha toli, main road",090353 49195
SANDEEP TRADERS,Women's clothing store,"NAGAR PARISHAD KE PICHE, 0",081029 22206
Bihari Hardware & Ply Store,Hardware store,Ambedkar Chowk,093089 60165
Tirupati hardware,Hardware store,"Station Rd, in front of Jyoti prakash library",085400 72979
"Ashirvaad Hardware, sanitary& Pipes",Hardware store,"PP Rd, near HDFC Bank",093084 31403
Sri Shyam HardWare,Hardware store,Amla toli mai read,099318 37376
Adarsh Hardware Ara Buxar Main Road Yasoda Barham Asthan,Hardware store,"H2M4+VJJ, Adarsh Hardware Yasoda Barham Asthan Ara, Main Road",091134 04437
Rudra Plywood and Hardware,Hardware store,Infront of nagar parishad,062038 60376
"श्री साई प्लाई - Plywood, Doors, Windows, Hardware, Mica, Curtain Pipes",Hardware store,Collectraite Road,079922 35609
Vaishnavi Hardware Aur J C B,Hardware store,Buxar - Itarhi Rd,097989 44137
Amit Tools & Hardware अमित टूल्स एंड हार्डवेयर,Hardware store,Bihar,094310 84337
Manishahardware paint shop,Hardware store,Buxar - Itarhi Rd,095707 45010
BHARDWAJ TRADERS,Hardware store,HX9F+7WV BHARDWAJ TREDERS,078702 80008
Aryan HardWare,Hardware store,HX33+QVR,095251 54653
Ganpati ply house,Hardware store,Mathiya Rd,070048 59041
Maurya Hardware,Hardware store,"Shop No 01, near Nh 24",097923 21283
Arun Pipe And Bath Emporium - Jaquar Authorized Dealer,Bathroom supply store,"Jyoti Chowk, Station Rd, opposite Tanishq Jewellery",062048 78395
Shiv Shakti Traders,Hardware store,near Railway Crossing,079035 62486
"Aditi Steel, Aluminium & Glass Center",Hardware store,"HX56+RRF, Chausa-Buxar-Sasaram Road, near ITI Field",079032 58389
Madhu Bhushan Pathak,Hardware store,"104, Padari, near Mahindra Service Center",093343 61321
Pradip Kumar Singh,Hardware store,"Road, near The Regal Public School",092412 48724
Bharat Agricultural Stores,Hardware store,"PP Rd, near Central Bank Of India",091100 50518
MAA LAXMI CEMENT & IRON STORE,Hardware store,"HXFV+58X, Golambar - Jaso Rd",093048 39046
Shiv Hardware,Hardware store,Dumri Bypass Rd,062998 73627
HCJPP1807G,Hardware store,Vivekanand Ward 38,088253 74819
Aarti Aluminum,Hardware store,"Charitan Ban, near by Gange Rai Clince",084090 14884
Palang wala,Furniture store,"Krishna hardware, near Sri Ram Complex",062057 03913
MAA VINDHYAVASINI ENTERPRISES,Hardware store,"Chaugain, Road",078590 75172
JAI HIND ELECTRICAL WORKS,Store,"bus stand, old",087095 00752
Vikash Steel House,Hardware store,Shop Number 05,093044 08919
Bala JI HARDWARE,Hardware store,"Ward No 1, Patna - Buxar Hwy",098019 21435
Anand,Hardware store,Sbi Atm,091137 16536
Sudarshan Sharma Hardware,Hardware store,101,086519 67212
Sangam Hardware Shop,Hardware store,Mathiya Rd,094318 81187
SK PLY & HARDWARE,Hardware store,"HXMV+PRP, Bandh Rd",079799 77935
GANPATI HARDWARE,Hardware store,"H2V2+5MX, Sarimpur - Ahirauli Rd",099340 03429
Prince Hardware,Hardware store,"PC College Sadhu Baba, Buxar - Itarhi Rd, near PC College Sadhu Baba",082523 53417
bhawani Saintery And Hardware Store,Hardware store,"Pipe Dukan, Rajput Road",091628 25605
Sujeet Hardware,Hardware store,Natwar,093349 95032
Niraj Hardware,Hardware store,"Nai bazar, Road, near Pnb bank infront of Madhu dressesdreess",076548 90805
Om Sai Almunium,Hardware store,Buxar Nayi Bazar Bihar,062009 22539
M.V Traders,Hardware store,Vishwamitra Colony,098352 20258
V.P RAI,Hardware store,"Natwar, Golambar - Jaso Rd",089870 48668
Jai Bhawani ply,Hardware store,"HXGM+F62 mahbir mandir, Main road",091101 72331
Manoj Kumar Verma,Hardware store,Natwar,095252 61817
KGN Steel,Hardware store,Natwar,080844 74562
SHIV JEE HARDWARE,Hardware store,H44W+8JG,079031 31842
Jai Bajrang,Hardware store,Mohania - Buxar Rd,082929 30072
Shahid Mahant Singh Building Materials,Hardware store,Orapkurd Main Buxar,086519 71267
Sajid Welding Work,Hardware store,"Shop No 95, near Main Market",082527 03557
Vishal Medical Store,Pharmacy,"Churaman Pur, Buxar NH-84, Arrah, Arrah - Buxar Rd",087570 66425
Mitra medical hall | Medical in Buxar,Drug store,HX33+J75,081768 70792
SEHAT MEDICO,Pharmacy,Bandh Rd,079090 56631
Shakti Homeo Pharma,Homeopathic pharmacy,opposite Vishal mega Mart,094728 13049
Suraj Medical Hall,Pharmacy,"HXGJ+CCQ, Maccharhatta, Pull Main Road",094310 83838
GREEN MEDICINE,Drug store,"Ambedkar chowk, near shyam vatika",070043 22809
Balaji Drugs,Drug store,"Main road, Golambar - Jaso Rd",099553 35409
Tanya Medical Hall,Pharmacy,"near, old rice mill mbgb bank, Buxar - Itarhi Rd",089368 00705
KALYAN HOMOEO BHAWAN,Homeopathic pharmacy,Buxar - Itarhi Rd,094310 58780
Saraswati Homoeo,Homeopathic pharmacy,Collectorate Road,082104 38082
Homeopathic clinic,Homeopathic pharmacy,"Amla Toli, near UCO BANK",099318 37213
