text,label
Peter England Showroom P.P. Road Buxar,name
Men's clothing store,category
"PP Rd, near Axis Bank",address
06183 357 243,phone
The Raymond shop,name
Clothing store,category
"The Raymond Shop, PP Rd",address
080 4493 8944,phone
Maruti Textiles,name
Clothing store,category
Pushtakalay Road,address
096611 81755,phone
Killer Showroom,name
Clothing store,category
"HX8H+229, Station Rd",address
094314 20162,phone
Siyaram's Shop - Buxar,name
Clothing store,category
PP Rd,address
099052 41855,phone
Babyhug Store Buxar Purana Bazar,name
Baby store,category
"Ward No.24, Kotawali Chowk, New Plot No. 65, 11 Dhurs, near Jamuna Chowk",address
093043 25338,phone
Mahalaxmi Vastralaya महालक्ष्मी वस्त्रालय,name
Clothing store,category
PP Rd,address
082268 86448,phone
Pp road buxar,name
Clothing store,category
PP Rd,address
088253 84366,phone
Bengal Dresses,name
Clothing store,category
HXFF+F2J,address
099342 17886,phone
STYLE BAAZAR BUXAR,name
Outlet mall,category
"Main Road, opposite Krishna Cinema",address
091477 17850,phone
Cantabil,name
Clothing store,category
"Ground Floor Turhatoli, near Krishna Cinema",address
094588 74138,phone
Sumangal Sarees,name
Clothing store,category
"Purana chowk,main road,buxar,bihar",address
094310 83793,phone
Sri Ram Vastralaya,name
Clothing store,category
HXGG+WVW,address
085788 99309,phone
Karishma Dresses,name
Clothing store,category
PP Rd,address
082715 77591,phone
COBB Italy Fashion Exclusive Showroom,name
Clothing store,category
"PURANA CHOWK MAIN ROAD, near Jhoon Babu Jewellers",address
092414 59772,phone
Tiger Jeans Corner,name
Men's clothing store,category
"Shop No 01, near by Chunni Lal Main Road",address
078588 88782,phone
Om Fancy Store,name
Clothing store,category
Purana Chowk,address
094318 46114,phone
"Kushum Garments, Opposite Indian Bank",name
Clothing store,category
HX7J+XRM,address
085820 11545,phone
Dress Center,name
Clothing store,category
PP Rd,address
087896 24237,phone
Amit vastralaya Buxar Bihar,name
Clothing store,category
PP Rd,address
079797 38532,phone
Manyavar,name
Men's clothing store,category
"Khata No 168, Rangoli Shopping Mall, Plot No 386, Main Road",address
080 3700 2550,phone
Jai Gurudev Saree Collection,name
Clothing store,category
HX87+RV6,address
087578 93582,phone
Bahuriya Garments,name
Women's clothing store,category
"Chausa buxar main road, mod, opposite Yamaha Pooja motors",address
088253 47716,phone
Paridhan Whole Sale Bazar,name
Clothing wholesale market place,category
PP Rd,address
097410 91080,phone
Unique School Shop,name
Uniform store,category
Collectraite Rd Buxar,address
093087 61906,phone
Fashion World,name
Clothing store,category
"2, Ramrekhaghat Road",address
091222 44601,phone
Jaiswal Garments,name
Clothing store,category
"Vishwanath Bhawan, 22, Laxumanpur Bhaurolee Road",address
073986 02211,phone
Anabiya Garments,name
Men's clothing store,category
Shop No 09,address
072083 25313,phone
Libas Collection,name
Clothing store,category
Gola Rd,address
087892 98148,phone
Aaradhya Faishion,name
Shopping mall,category
PP Rd,address
089873 96101,phone
swayamvar vastralay,name
Clothing store,category
Gola Rd,address
077390 42156,phone
Saraswati Sarees Center,name
Clothing store,category
"viswa mitra marg, PP Rd",address
092347 99789,phone
Shardhanjali Dresses,name
Clothing store,category
Dumraon Bikramganj Rd,address
077390 42156,phone
SRI KHADI BHANDAR,name
Clothing store,category
Gola Rd,address
079037 03096,phone
Pahnawa garment,name
Clothing store,category
Sahid gate,address
088630 46142,phone
TRENDS,name
Clothing store,category
"H48R+XMC Commercial Complex, Station Rd, near Shankar Cinema",address
062038 43748,phone
S2 Clothes Store,name
Clothing store,category
jail paen road,address
077669 53904,phone
Indian's Fab | Online Shopping Store,name
Clothing store,category
"Twining Ganj .Railways station, Village. Noniyapura, post, Sowan",address
077830 12361,phone
Prakash Cloth Store,name
Men's clothing store,category
"Shop No 3, M P, High School",address
093082 92766,phone
Jockey Exclusive Store,name
Clothing store,category
"PP Road, Ward No 27, Santh",address
080839 37079,phone
Bal Gnesh Readymade Garments,name
Clothing store,category
Bal Ganesh Tadka,address
093041 62460,phone
Sabrang khadi,name
Clothing store,category
"Turha toli, main road",address
090353 49195,phone
SANDEEP TRADERS,name
Women's clothing store,category
"NAGAR PARISHAD KE PICHE, 0",address
081029 22206,phone
Bihari Hardware & Ply Store,name
Hardware store,category
Ambedkar Chowk,address
093089 60165,phone
Tirupati hardware,name
Hardware store,category
"Station Rd, in front of Jyoti prakash library",address
085400 72979,phone
"Ashirvaad Hardware, sanitary& Pipes",name
Hardware store,category
"PP Rd, near HDFC Bank",address
093084 31403,phone
Sri Shyam HardWare,name
Hardware store,category
Amla toli mai read,address
099318 37376,phone
Adarsh Hardware Ara Buxar Main Road Yasoda Barham Asthan,name
Hardware store,category
"H2M4+VJJ, Adarsh Hardware Yasoda Barham Asthan Ara, Main Road",address
091134 04437,phone
Rudra Plywood and Hardware,name
Hardware store,category
Infront of nagar parishad,address
062038 60376,phone
"श्री साई प्लाई - Plywood, Doors, Windows, Hardware, Mica, Curtain Pipes",name
Hardware store,category
Collectraite Road,address
079922 35609,phone
Vaishnavi Hardware Aur J C B,name
Hardware store,category
Buxar - Itarhi Rd,address
097989 44137,phone
Amit Tools & Hardware अमित टूल्स एंड हार्डवेयर,name
Hardware store,category
Bihar,address
094310 84337,phone
Manishahardware paint shop,name
Hardware store,category
Buxar - Itarhi Rd,address
095707 45010,phone
BHARDWAJ TRADERS,name
Hardware store,category
HX9F+7WV BHARDWAJ TREDERS,address
078702 80008,phone
Aryan HardWare,name
Hardware store,category
HX33+QVR,address
095251 54653,phone
Ganpati ply house,name
Hardware store,category
Mathiya Rd,address
070048 59041,phone
Maurya Hardware,name
Hardware store,category
"Shop No 01, near Nh 24",address
097923 21283,phone
Arun Pipe And Bath Emporium - Jaquar Authorized Dealer,name
Bathroom supply store,category
"Jyoti Chowk, Station Rd, opposite Tanishq Jewellery",address
062048 78395,phone
Shiv Shakti Traders,name
Hardware store,category
near Railway Crossing,address
079035 62486,phone
"Aditi Steel, Aluminium & Glass Center",name
Hardware store,category
"HX56+RRF, Chausa-Buxar-Sasaram Road, near ITI Field",address
079032 58389,phone
Madhu Bhushan Pathak,name
Hardware store,category
"104, Padari, near Mahindra Service Center",address
093343 61321,phone
Pradip Kumar Singh,name
Hardware store,category
"Road, near The Regal Public School",address
092412 48724,phone
Bharat Agricultural Stores,name
Hardware store,category
"PP Rd, near Central Bank Of India",address
091100 50518,phone
MAA LAXMI CEMENT & IRON STORE,name
Hardware store,category
"HXFV+58X, Golambar - Jaso Rd",address
093048 39046,phone
Shiv Hardware,name
Hardware store,category
Dumri Bypass Rd,address
062998 73627,phone
HCJPP1807G,name
Hardware store,category
Vivekanand Ward 38,address
088253 74819,phone
Aarti Aluminum,name
Hardware store,category
"Charitan Ban, near by Gange Rai Clince",address
084090 14884,phone
Palang wala,name
Furniture store,category
"Krishna hardware, near Sri Ram Complex",address
062057 03913,phone
MAA VINDHYAVASINI ENTERPRISES,name
Hardware store,category
"Chaugain, Road",address
078590 75172,phone
JAI HIND ELECTRICAL WORKS,name
Store,category
"bus stand, old",address
087095 00752,phone
Vikash Steel House,name
Hardware store,category
Shop Number 05,address
093044 08919,phone
Bala JI HARDWARE,name
Hardware store,category
"Ward No 1, Patna - Buxar Hwy",address
098019 21435,phone
Anand,name
Hardware store,category
Sbi Atm,address
091137 16536,phone
Sudarshan Sharma Hardware,name
Hardware store,category
101,address
086519 67212,phone
Sangam Hardware Shop,name
Hardware store,category
Mathiya Rd,address
094318 81187,phone
SK PLY & HARDWARE,name
Hardware store,category
"HXMV+PRP, Bandh Rd",address
079799 77935,phone
GANPATI HARDWARE,name
Hardware store,category
"H2V2+5MX, Sarimpur - Ahirauli Rd",address
099340 03429,phone
Prince Hardware,name
Hardware store,category
"PC College Sadhu Baba, Buxar - Itarhi Rd, near PC College Sadhu Baba",address
082523 53417,phone
